team,week,R,HR,RBI,SB,AVG,K,QS,SV,ERA,WHIP
BOYZ,8,36.0,6.0,40.0,10.0,0.22875817,70.0,3.0,1.0,4.67027027,1.24864865
BOYZ,9,45.0,14.0,39.0,9.0,0.28656716,68.0,2.0,1.0,4.640625,1.3125
BOYZ,10,32.0,9.0,40.0,3.0,0.25465839,61.0,3.0,1.0,4.42857143,1.19047619
BOYZ,11,44.0,11.0,49.0,2.0,0.27469136,47.0,5.0,1.0,3.22826087,1.22282609
BOYZ,12,36.0,8.0,31.0,4.0,0.21428571,67.0,4.0,2.0,4.03608247,1.34536082
BOYZ,13,49.0,14.0,35.0,3.0,0.28666667,60.0,2.0,2.0,5.59171598,1.47337278
BOYZ,14,59.0,15.0,55.0,7.0,0.2448037,102.0,5.0,3.0,2.92657343,1.13286713
BOYZ,15,43.0,16.0,48.0,9.0,0.27090301,74.0,4.0,1.0,3.04615385,1.24615385
BOYZ,16,46.0,13.0,40.0,2.0,0.26860841,63.0,4.0,1.0,3.51627907,1.15813953
BOYZ,18,49.0,15.0,38.0,2.0,0.24125874,64.0,3.0,3.0,3.49740933,1.02590674
BOYZ,19,43.0,16.0,42.0,5.0,0.27046263,70.0,4.0,4.0,2.78350515,1.05154639
BOYZ,20,48.0,17.0,44.0,7.0,0.30612245,63.0,2.0,2.0,5.08064516,1.24193548
TKF,1,70.0,21.0,59.0,7.0,0.29475983,79.0,8.0,6.0,2.84210526,0.97368421
TKF,2,28.0,5.0,31.0,2.0,0.22772277,65.0,3.0,5.0,3.80097087,1.39805825
TKF,3,42.0,16.0,51.0,7.0,0.30223881,82.0,6.0,1.0,4.54326923,1.125
TKF,4,50.0,14.0,53.0,4.0,0.29931973,65.0,4.0,3.0,4.0212766,1.27659574
TKF,5,39.0,7.0,39.0,5.0,0.24163569,56.0,2.0,3.0,6.03726708,1.58385093
TKF,6,49.0,14.0,38.0,5.0,0.27702703,65.0,4.0,3.0,3.26373626,1.17032967
TKF,7,51.0,19.0,54.0,4.0,0.27631579,70.0,6.0,3.0,2.85714286,1.06349206
TKF,9,45.0,12.0,38.0,8.0,0.28070175,81.0,7.0,8.0,1.44174757,0.91747573
TKF,10,50.0,17.0,50.0,6.0,0.26119403,53.0,5.0,3.0,2.06470588,0.81176471
TKF,11,58.0,14.0,47.0,8.0,0.30434783,70.0,6.0,7.0,2.67326733,0.98019802
TKF,12,36.0,9.0,29.0,4.0,0.26966292,63.0,4.0,3.0,4.82142857,1.31632653
TKF,13,43.0,15.0,47.0,6.0,0.26510067,80.0,4.0,5.0,3.35885167,1.06220096
TKF,14,73.0,14.0,56.0,6.0,0.2616408,113.0,4.0,11.0,3.96774194,1.25806452
TKF,15,55.0,23.0,57.0,2.0,0.27609428,77.0,6.0,7.0,2.21917808,1.01369863
TKF,16,60.0,20.0,57.0,4.0,0.30599369,70.0,2.0,5.0,5.78571429,1.46428571
TKF,17,49.0,16.0,51.0,0.0,0.28865979,67.0,5.0,7.0,2.61734694,1.25510204
TKF,18,36.0,12.0,47.0,0.0,0.24285714,59.0,2.0,5.0,5.49700599,1.70658683
TKF,20,53.0,19.0,58.0,3.0,0.28014184,67.0,6.0,3.0,3.375,1.15384615
SISY,1,70.0,18.0,62.0,5.0,0.27251732,107.0,4.0,3.0,3.71375465,1.18215613
SISY,2,55.0,13.0,40.0,4.0,0.26821192,80.0,6.0,2.0,1.25581395,0.75348837
SISY,3,43.0,10.0,45.0,3.0,0.23076923,45.0,2.0,3.0,5.86046512,1.41860465
SISY,4,45.0,12.0,50.0,5.0,0.25961538,71.0,3.0,3.0,3.915,1.26
SISY,5,41.0,12.0,43.0,5.0,0.23322684,71.0,5.0,3.0,3.92178771,1.29050279
SISY,6,51.0,17.0,54.0,2.0,0.29746835,69.0,5.0,2.0,3.57142857,1.14285714
SISY,8,45.0,12.0,41.0,6.0,0.24275362,78.0,6.0,5.0,3.71090047,1.36492891
SISY,9,53.0,21.0,61.0,7.0,0.27639752,66.0,3.0,1.0,5.20812183,1.46192893
SISY,10,54.0,18.0,58.0,4.0,0.3013245,70.0,4.0,1.0,4.38219895,1.39790576
SISY,11,47.0,14.0,53.0,5.0,0.30272109,69.0,3.0,2.0,3.98360656,1.06557377
SISY,12,48.0,13.0,49.0,4.0,0.27972028,74.0,5.0,7.0,2.92268041,1.15979381
SISY,13,39.0,11.0,30.0,6.0,0.23776224,65.0,7.0,5.0,4.00990099,1.23267327
SISY,14,67.0,22.0,70.0,7.0,0.26241135,114.0,4.0,4.0,4.54455446,1.22772277
SISY,15,48.0,14.0,39.0,3.0,0.22826087,2.0,0.0,0.0,0.0,0.0
SISY,16,54.0,10.0,40.0,3.0,0.28614458,60.0,3.0,3.0,4.79032258,1.22580645
SISY,17,42.0,14.0,39.0,5.0,0.28082192,72.0,2.0,2.0,4.96216216,1.21621622
SISY,19,49.0,10.0,26.0,3.0,0.26366559,65.0,5.0,5.0,3.82075472,1.18867925
SISY,20,32.0,6.0,26.0,3.0,0.24252492,3.0,0.0,2.0,0.0,0.0
VAL,1,74.0,22.0,74.0,8.0,0.24153499,119.0,4.0,10.0,3.69863014,1.01712329
VAL,2,38.0,10.0,36.0,0.0,0.22847682,63.0,4.0,5.0,2.96703297,1.03846154
VAL,3,43.0,10.0,37.0,2.0,0.27147766,64.0,2.0,3.0,4.0,1.3015873
VAL,5,58.0,17.0,64.0,5.0,0.27355623,66.0,5.0,4.0,3.28037383,1.19158879
VAL,6,49.0,18.0,51.0,3.0,0.278125,68.0,2.0,5.0,4.21875,1.390625
VAL,7,53.0,19.0,54.0,3.0,0.26190476,75.0,4.0,3.0,3.87559809,1.19138756
VAL,8,40.0,17.0,53.0,3.0,0.22580645,74.0,3.0,4.0,2.75806452,1.03225806
VAL,9,46.0,14.0,42.0,3.0,0.21118012,59.0,3.0,5.0,4.15384615,1.03846154
VAL,10,48.0,9.0,35.0,4.0,0.26153846,67.0,5.0,4.0,3.47938144,1.08247423
VAL,11,53.0,19.0,55.0,3.0,0.25076453,63.0,4.0,4.0,4.82142857,1.39285714
VAL,12,49.0,18.0,59.0,4.0,0.24758842,85.0,6.0,3.0,1.90909091,0.93939394
VAL,13,58.0,18.0,68.0,5.0,0.26315789,84.0,5.0,4.0,3.80912863,1.09543568
VAL,14,61.0,25.0,76.0,1.0,0.2264574,98.0,6.0,4.0,3.63272727,1.05818182
VAL,16,33.0,8.0,41.0,7.0,0.23549488,51.0,6.0,2.0,5.24571429,1.52571429
VAL,17,48.0,12.0,32.0,4.0,0.26984127,76.0,5.0,8.0,2.74331551,1.12299465
